art,knr2017,xftot,kommune2017,fylkesnr,aar,region,bestv,NT,kalvprs,okseprs,kuprs,okseavad,sum,kalvprku,svekt_o,svekt_ku,svekt_ka,oksevekt,kuvekt,kalvvekt,moksev,mkuv,mkalvv,skalvvekt,vkalvvekt,mskalvv,mvkalvv,LANDKAT,ALTREG,reg,kommune,bestandsvekst,vinterbest,snittbest,lnfelt,lnvbest,hrate,Høstingsrate,Tilvekstrate,antkg,antmkg,utmar,TOTBAR
elg,214,0,Ås,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Ås,-0.181252269,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,61.32,#NULL!
elg,215,0,Frogn,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Frogn,-0.181252269,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,71.11,#NULL!
elg,216,0,Nesodden,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Nesodden,-0.181252269,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,53.73,#NULL!
elg,217,0,Oppegård,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Oppegård,-0.181252269,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,31.98,#NULL!
elg,219,2,Bærum,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Bærum,-0.181252269,3.851483426,4.518150093,0.693147181,1.34845838,0.519280438,0.519280438,0.338028169,1184.18003,289.7479336,169,1.714484814
elg,220,1,Asker,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Asker,-0.181252269,1.925741713,2.259075046,0,0.655311199,0.519280438,0.519280438,0.338028169,592.0900152,144.8739668,84.84,1.707613942
elg,221,32,Aurskog-Høland,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Aurskog-Høland,-0.181252269,61.62373482,72.29040149,3.465735903,4.121047102,0.519280438,0.519280438,0.338028169,18946.88049,4635.966938,796.95,5.817136505
elg,226,5.666666667,Sørum,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Sørum,-0.181252269,10.91253637,12.80142526,1.734601055,2.389912254,0.519280438,0.519280438,0.338028169,3355.176753,820.9524786,124.53,6.59240728
elg,227,5,Fet,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Fet,-0.181252269,9.628708566,11.29537523,1.609437912,2.264749111,0.519280438,0.519280438,0.338028169,2960.450076,724.369834,110.56,6.551825561
elg,228,2.666666667,Rælingen,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Rælingen,-0.181252269,5.135311235,6.024200124,0.980829253,1.636140452,0.519280438,0.519280438,0.338028169,1578.906707,386.3305782,50.62,7.631975072
elg,229,9,Enebakk,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Enebakk,-0.181252269,17.33167542,20.33167542,2.197224577,2.852535776,0.519280438,0.519280438,0.338028169,5328.810137,1303.865701,165.73,7.867409046
elg,230,2.666666667,Lørenskog,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Lørenskog,-0.181252269,5.135311235,6.024200124,0.980829253,1.636140452,0.519280438,0.519280438,0.338028169,1578.906707,386.3305782,60.83,6.35098764
elg,231,2,Skedsmo,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Skedsmo,-0.181252269,3.851483426,4.518150093,0.693147181,1.34845838,0.519280438,0.519280438,0.338028169,1184.18003,289.7479336,50.68,5.717204689
elg,233,3,Nittedal,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Nittedal,-0.181252269,5.777225139,6.777225139,1.098612289,1.753923488,0.519280438,0.519280438,0.338028169,1776.270046,434.6219004,165.15,2.631679688
elg,234,3.666666667,Gjerdrum,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Gjerdrum,-0.181252269,7.061052948,8.28327517,1.299282984,1.954594183,0.519280438,0.519280438,0.338028169,2170.996723,531.204545,55.95,9.494272475
elg,235,4.666666667,Ullensaker,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Ullensaker,-0.181252269,8.986794661,10.54235022,1.540445041,2.19575624,0.519280438,0.519280438,0.338028169,2763.086738,676.0785118,161.13,4.195857455
elg,236,21.33333333,Nes,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Nes,-0.181252269,41.08248988,48.19360099,3.060270795,3.715581994,0.519280438,0.519280438,0.338028169,12631.25366,3090.644625,470.97,6.562296166
elg,237,12.33333333,Eidsvoll,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Eidsvoll,-0.181252269,23.75081446,27.86192557,2.512305624,3.167616823,0.519280438,0.519280438,0.338028169,7302.443521,1786.778924,334.9,5.335261045
elg,238,14,Nannestad,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Nannestad,-0.181252269,26.96038398,31.62705065,2.63905733,3.294368529,0.519280438,0.519280438,0.338028169,8289.260213,2028.235535,273.7,7.410433085
elg,239,35,Hurdal,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Hurdal,-0.181252269,67.40095996,79.06762663,3.555348061,4.210659261,0.519280438,0.519280438,0.338028169,20723.15053,5070.588838,253.44,20.00705823
elg,301,0,Oslo kommune,2,1949,2,-0.2,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Oslo kommune,-0.181252269,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,390.37,#NULL!
elg,402,25,Kongsvinger,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Kongsvinger,0.050723503,87.01564223,95.34897556,3.218875825,4.466087898,0.287304666,0.287304666,0.338028169,24990.3944,6114.708027,910.53,6.715548117
elg,403,11.66666667,Hamar,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Hamar,0.050723503,40.60729971,44.4961886,2.456735773,3.703947846,0.287304666,0.287304666,0.338028169,11662.18405,2853.530413,289.58,9.8540314
elg,412,74,Ringsaker,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Ringsaker,0.050723503,257.566301,282.2329677,4.304065093,5.551277167,0.287304666,0.287304666,0.338028169,73971.56743,18099.53576,941.89,19.21618847
elg,415,9,Løten,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Løten,0.050723503,31.3256312,34.3256312,2.197224577,3.444436651,0.287304666,0.287304666,0.338028169,8996.541985,2201.29489,314.76,6.993566177
elg,417,24,Stange,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Stange,0.050723503,83.53501654,91.53501654,3.17805383,4.425265904,0.287304666,0.287304666,0.338028169,23990.77863,5870.119706,539.87,10.87320967
elg,418,40,Nord-Odal,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Nord-Odal,0.050723503,139.2250276,152.5583609,3.688879454,4.936091528,0.287304666,0.287304666,0.338028169,39984.63104,9783.532844,447.68,21.85385285
elg,419,16.66666667,Sør-Odal,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Sør-Odal,0.050723503,58.01042815,63.56598371,2.813410717,4.06062279,0.287304666,0.287304666,0.338028169,16660.26293,4076.472018,413.61,9.855835251
elg,420,17,Eidskog,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Eidskog,0.050723503,59.17063672,64.83730338,2.833213344,4.080425417,0.287304666,0.287304666,0.338028169,16993.46819,4158.001459,567.33,7.329070309
elg,423,23,Grue,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Grue,0.050723503,80.05439085,87.72105752,3.135494216,4.382706289,0.287304666,0.287304666,0.338028169,22991.16285,5625.531385,711.45,7.907135266
elg,425,51,Åsnes,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Åsnes,0.050723503,177.5119102,194.5119102,3.931825633,5.179037706,0.287304666,0.287304666,0.338028169,50980.40458,12474.00438,905.84,13.77064865
elg,426,49.33333333,Våler,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Våler,0.050723503,171.7108673,188.1553118,3.898599985,5.145812058,0.287304666,0.287304666,0.338028169,49314.37829,12066.35717,630.32,19.14322435
elg,427,81.66666667,Elverum,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Elverum,0.050723503,284.251098,311.4733202,4.402645922,5.649857995,0.287304666,0.287304666,0.338028169,81635.28838,19974.71289,1162.4,17.18402692
elg,428,79.66666667,Trysil,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Trysil,0.050723503,277.2898466,303.8454021,4.377851263,5.625063337,0.287304666,0.287304666,0.338028169,79636.05683,19485.53625,2925.19,6.661289095
elg,429,78.33333333,Åmot,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,inlandlow,2,Åmot,0.050723503,272.6490123,298.7601234,4.360973225,5.608185299,0.287304666,0.287304666,0.338028169,78303.23579,19159.41849,1277.2,15.00111062
elg,430,69,Stor-Elvdal,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,mountain,3,Stor-Elvdal,0.050723503,240.1631726,263.1631726,4.234106505,5.481318578,0.287304666,0.287304666,0.338028169,68973.48855,16876.59416,2109.51,8.000243732
elg,432,57,Rendalen,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,mountain,3,Rendalen,0.050723503,198.3956643,217.3956643,4.043051268,5.290263341,0.287304666,0.287304666,0.338028169,56978.09924,13941.5343,3042.83,4.581765758
elg,434,16,Engerdal,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,mountain,3,Engerdal,0.050723503,55.69001103,61.02334436,2.772588722,4.019800796,0.287304666,0.287304666,0.338028169,15993.85242,3913.413138,1906.91,2.052227498
elg,436,13.33333333,Tolga,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,mountain,3,Tolga,0.050723503,46.40834252,50.85278697,2.590267165,3.837479239,0.287304666,0.287304666,0.338028169,13328.21035,3261.177615,1066.95,3.05654212
elg,437,23,Tynset,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,mountain,3,Tynset,0.050723503,80.05439085,87.72105752,3.135494216,4.382706289,0.287304666,0.287304666,0.338028169,22991.16285,5625.531385,1764.56,3.188064665
elg,438,9.666666667,Alvdal,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,mountain,3,Alvdal,0.050723503,33.64604833,36.86827055,2.268683541,3.515895615,0.287304666,0.287304666,0.338028169,9662.952502,2364.353771,892.71,2.648512698
elg,439,6,Folldal,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,mountain,3,Folldal,0.050723503,20.88375414,22.88375414,1.791759469,3.038971543,0.287304666,0.287304666,0.338028169,5997.694656,1467.529927,1231.51,1.19165084
elg,441,12,Os,4,1949,4,0.049484108,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,180,170,70,324,323,112,76.36753237,76.19068738,34.42813657,56,140,20.47109248,40.70015159,SENorway,mountain,3,Os,0.050723503,41.76750827,45.76750827,2.48490665,3.732118723,0.287304666,0.287304666,0.338028169,11995.38931,2935.059853,977.23,3.003448373
elg,501,12.66666667,Lillehammer,5,1949,5,-0.014451873,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,170,160,65,306,304,104,73.16292667,72.80399107,32.56679381,52,130,19.36433145,38.49971497,SENorway,inlandlow,2,Lillehammer,-0.014346469,35.94659007,40.16881229,2.538973871,3.582034228,0.352374638,0.352374638,0.338028169,9904.343709,2459.823245,413.89,5.943181148
elg,502,25.33333333,Gjøvik,5,1949,5,-0.014451873,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,170,160,65,306,304,104,73.16292667,72.80399107,32.56679381,52,130,19.36433145,38.49971497,SENorway,inlandlow,2,Gjøvik,-0.014346469,71.89318014,80.33762458,3.232121052,4.275181408,0.352374638,0.352374638,0.338028169,19808.68742,4919.64649,559.75,8.789006682
elg,511,3,Dovre,5,1949,5,-0.014451873,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,170,160,65,306,304,104,73.16292667,72.80399107,32.56679381,52,130,19.36433145,38.49971497,SENorway,mountain,3,Dovre,-0.014346469,8.513666069,9.513666069,1.098612289,2.141672645,0.352374638,0.352374638,0.338028169,2345.765615,582.589716,1317.5,0.442193333
elg,512,21.66666667,Lesja,5,1949,5,-0.014451873,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,170,160,65,306,304,104,73.16292667,72.80399107,32.56679381,52,130,19.36433145,38.49971497,SENorway,mountain,3,Lesja,-0.014346469,61.48758828,68.7098105,3.075774981,4.118835338,0.352374638,0.352374638,0.338028169,16941.64055,4207.592393,2133.37,1.972275036
elg,513,4,Skjåk,5,1949,5,-0.014451873,0.338028169,0.29,0.284,0.426,0.4,1,0.680751174,170,160,65,306,304,104,73.16292667,72.80399107,32.56679381,52,130,19.36433145,38.49971497,SENorway,mountain,3,Skjåk,-0.014346469,11.35155476,12.68488809,1.386294361,2.429354718,0.352374638,0.352374638,0.338028169,3127.687487,776.7862879,1954.55,0.397424618
